Recency,Frequency,Monetary,Cluster
0.4403794037940379,0.0026540131896413,0.1334908606567196,1
0.002710027100271,0.0177738459063857,0.0084709806951976,0
0.1016260162601626,0.0040212321055171,0.0034758090300947,0
0.024390243902439,0.0139938877271996,0.0076227001552392,0
0.4200542005420054,0.0012867942737654,0.0005755722193045,1
0.508130081300813,0.0016084928422068,0.0005179633611104,2
0.048780487804878,0.0082033134952549,0.0049051696574849,0
0.2764227642276423,0.0018497667685378,0.0007001188873335,1
0.3143631436314363,0.0045842046002895,0.0018578727676954,1
0.2899728997289973,0.0027344378317516,0.0016310346612895,1
0.029810298102981,0.0113398745375583,0.0109670776821458,0
0.0447154471544715,0.023725269422551,0.0314768811366256,0
0.0013550135501355,0.006112272800386,0.0066904590505151,0
0.0772357723577235,0.0290332958018336,0.015272956863203,0
0.070460704607046,0.017371722695834,0.0073201116499948,0
0.3888888888888889,0.0022518899790895,0.0008799679937783,1
0.0040650406504065,0.0213929548013511,0.0092191901561177,0
0.1476964769647696,0.0017693421264275,0.0009501072519621,3
0.0094850948509485,0.0067556699372687,0.0022601192618685,0
0.3943089430894309,0.0016889174843171,0.0011039488935932,1
0.8577235772357723,0.0001608492842206,0.0008610174850027,4
0.005420054200542,0.0008042464211034,0.0002907121645949,0
0.8509485094850948,0.0013672189158758,0.001579553306387,4
0.559620596205962,0.0073990670741515,0.0030829431238259,2
0.0691056910569105,0.0160849284220685,0.0074297010136405,0
0.059620596205962,0.0133504905903168,0.0070008102074015,0
0.0962059620596205,0.0041016567476274,0.0022341978574943,0
0.4214092140921409,0.0040212321055171,0.0019409210918026,1
0.0338753387533875,0.006594820653048,0.0051450717386053,0
0.013550135501355,0.0012867942737654,0.0007874530213272,0
0.5271002710027101,0.0009650957053241,0.000866026202581,2
0.4268292682926829,0.0121441209586617,0.005897412100621,1
0.1747967479674796,0.0241273926331027,0.009322617592296,3
0.1097560975609756,0.0064339713688274,0.0027887369053877,0
0.0284552845528455,0.0221972012224545,0.0166549326126104,0
0.005420054200542,0.0069165192214894,0.0031761637918807,0
0.2493224932249322,0.0078816149268135,0.0031852001380271,3
0.037940379403794,0.0020910406948689,0.0010073718683983,0
0.513550135501355,0.0051471770950619,0.003336391118122,2
0.4566395663956639,0.000723821778993,0.0006917538126151,1
0.5623306233062331,0.0006433971368827,0.0002477507932018,2
0.0203252032520325,0.0116615731059996,0.0067146248219237,0
0.5447154471544715,0.0038603828212964,0.0024670601946645,2
0.1070460704607046,0.0024931639054206,0.0009463894409761,0
0.0284552845528455,0.0213929548013511,0.0046900185587616,0
0.8008130081300813,0.000482547852662,0.0004040537634023,4
0.0975609756097561,0.0085250120636963,0.004129954430653,0
0.0853658536585365,0.0020910406948689,0.0021902037608274,0
0.0257452574525745,0.0193823387485925,0.0081261193020759,0
0.913279132791328,0.0051471770950619,0.0016031855030707,4
0.0474254742547425,0.0100530802637928,0.0041479410625063,0
0.0609756097560975,0.0067556699372687,0.002815312369102,0
0.1612466124661246,0.0087662859900273,0.0033775280081979,3
0.5609756097560976,0.0008042464211034,0.0003532781041036,2
0.4105691056910569,0.0003216985684413,0.0001450979009789,1
0.4376693766937669,0.0055493003056136,0.0021633873278825,1
