Recency,Frequency,Monetary
0.44037940379403795,0.027707808564231738,0.13348646087709562
0.0027100271002710027,0.017632241813602016,0.008465946115667297
0.1016260162601626,0.010075566750629723,0.003470749087122162
0.024390243902439025,0.007556675062972292,0.007617661268486714
0.42005420054200543,0.0,0.0005704975501136355
0.508130081300813,0.0,0.000512888399405223
0.04878048780487805,0.022670025188916875,0.004900116972222079
0.2764227642276423,0.0025188916876574307,0.0006950448505397108
0.3143631436314363,0.0,0.0018528046095031621
0.2899728997289973,0.0025188916876574307,0.0016259653513059195
0.02981029810298103,0.012594458438287152,0.010962055776776948
0.044715447154471545,0.005037783375314861,0.03147196337166478
0.0013550135501355014,0.010075566750629723,0.006685415430222883
0.07723577235772358,0.022670025188916875,0.015267956821330508
0.07046070460704607,0.017632241813602016,0.007315071226821375
0.3888888888888889,0.007556675062972292,0.0008748948701848272
0.004065040650406504,0.02518891687657431,0.009214159375689614
0.14769647696476965,0.0025188916876574307,0.0009450344845071402
0.009485094850948509,0.007556675062972292,0.002255053146119715
0.3943089430894309,0.0025188916876574307,0.0010988769072832957
0.8577235772357723,0.0,0.0008559442651863323
0.005420054200542005,0.0,0.0002856360490009287
0.8509485094850948,0.0,0.0015744837350021063
0.559620596205962,0.005037783375314861,0.00307788118604074
0.06910569105691057,0.015113350125944586,0.007424661146917122
0.05962059620596206,0.010075566750629723,0.006995768162945735
0.09620596205962059,0.005037783375314861,0.0022291316101272236
0.42140921409214094,0.005037783375314861,0.0019358533552958394
0.03387533875338753,0.007556675062972292,0.005140020271467331
0.013550135501355014,0.0025188916876574307,0.0007823794279805493
0.5271002710027101,0.0025188916876574307,0.0008609530081968336
0.4268292682926829,0.007556675062972292,0.005892364453560166
0.17479674796747968,0.0025188916876574307,0.009317587337030173
0.10975609756097561,0.007556675062972292,0.002783673473743489
0.028455284552845527,0.02518891687657431,0.016649939587846545
0.005420054200542005,0.010075566750629723,0.003171102327432064
0.24932249322493225,0.010075566750629723,0.003180138719461319
0.037940379403794036,0.0025188916876574307,0.0010022993917096765
0.513550135501355,0.0,0.0033313304672422266
0.45663956639566394,0.0025188916876574307,0.0006866797333469148
0.5623306233062331,0.0,0.00024267445946755614
0.02032520325203252,0.017632241813602016,0.006709581324335405
0.5447154471544715,0.005037783375314861,0.002461995129677303
0.1070460704607046,0.0,0.0009413166546436753
0.028455284552845527,0.012594458438287152,0.0046849647810493405
0.8008130081300813,0.0,0.00039897822331072785
0.0975609756097561,0.012594458438287152,0.004124897809163759
0.08536585365853659,0.0025188916876574307,0.002185137290076222
0.025745257452574527,0.035264483627204024,0.008121082971480337
0.9132791327913279,0.0,0.00159811605168052
0.04742547425474255,0.0025188916876574307,0.0041428845323458
0.06097560975609756,0.0,0.0028102490723971455
